#dig start(48;28; Start: Center) 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , , , , , , , , , ,d,d,d, , , , , , , , , , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , , , , , , , , , ,d,d,d, , , , , , , , , , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d, ,d,d,d, , , ,d,d,d, , ,d,d,d, , ,d,d,d, , , ,d,d,d, ,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d, ,d,d,d, , , ,d,d,d, , ,d,d,d, , ,d,d,d, , , ,d,d,d, ,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d, ,d,d,d, , , ,d,d,d, , ,d,d,d, , ,d,d,d, , , ,d,d,d, ,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , ,d, , , , ,d, , , , ,d, , , , , ,d, , , ,d,d,d, , , ,d, , , , , ,d, , , , ,d, , , , ,d, , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , ,d,d,d, , ,d,d,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d,d,d, , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , , #
